col_0_0_	col_1_0_	col_2_0_
A00001837	260.000000000	3120.000000000
A00001668	260.000000000	3120.000000000
A00001967	260.000000000	3120.000000000
A00001998	260.000000000	3120.000000000
A00002375	260.000000000	3120.000000000
A00002293	260.000000000	3120.000000000
A00002386	260.000000000	3120.000000000
A00001930	260.000000000	3120.000000000
A00002276	260.000000000	3120.000000000
A00002144	260.000000000	3120.000000000
A00002332	260.000000000	3120.000000000
A00002403	260.000000000	3120.000000000
A00002610	260.000000000	3120.000000000
A00002355	260.000000000	3120.000000000
A00001613	260.000000000	3120.000000000
A00002114	260.000000000	3120.000000000
A00001728	260.000000000	3120.000000000
A00002239	260.000000000	3120.000000000
A00001745	260.000000000	3120.000000000
A00002431	260.000000000	3120.000000000
A00001822	260.000000000	3120.000000000
A00002558	260.000000000	3120.000000000
A00001927	260.000000000	3120.000000000
A00002056	260.000000000	3120.000000000
A00001963	260.000000000	3120.000000000
A00002443	260.000000000	3120.000000000
A00002017	260.000000000	3120.000000000
A00002211	260.000000000	3120.000000000
A00001912	260.000000000	3120.000000000
A00002448	260.000000000	3120.000000000
A00002223	260.000000000	3120.000000000
A00002499	260.000000000	3120.000000000
A00002116	260.000000000	3120.000000000
A00002516	260.000000000	3120.000000000
A00002401	260.000000000	3120.000000000
A00002076	260.000000000	3120.000000000
A00002326	260.000000000	3120.000000000
A00002224	260.000000000	3120.000000000
A00002429	260.000000000	3120.000000000
A00002489	260.000000000	3120.000000000
A00002113	260.000000000	3120.000000000
A00002339	260.000000000	3120.000000000
A00002236	260.000000000	3120.000000000
A00002421	260.000000000	3120.000000000
A00002313	260.000000000	3120.000000000
A00001758	260.000000000	3120.000000000
A00002470	260.000000000	3120.000000000
A00001661	260.000000000	3120.000000000
A00002550	260.000000000	3120.000000000
A00002029	260.000000000	3120.000000000
A00002531	260.000000000	3120.000000000
A00002023	260.000000000	3120.000000000
A00001694	260.000000000	3120.000000000
A00002167	260.000000000	3120.000000000
A00001724	260.000000000	3120.000000000
A00001910	260.000000000	3120.000000000
A00001626	260.000000000	3120.000000000
A00001920	260.000000000	3120.000000000
A00001709	260.000000000	3120.000000000
A00002202	260.000000000	3120.000000000
A00001630	260.000000000	3120.000000000
A00002237	260.000000000	3120.000000000
A00001895	260.000000000	3120.000000000
A00002285	260.000000000	3120.000000000
A00001844	260.000000000	3120.000000000
A00002494	260.000000000	3120.000000000
A00001806	260.000000000	3120.000000000
A00002117	260.000000000	3120.000000000
A00001850	260.000000000	3120.000000000
A00002418	260.000000000	3120.000000000
A00001880	260.000000000	3120.000000000
A00002517	260.000000000	3120.000000000
A00001771	260.000000000	3120.000000000
A00001735	260.000000000	3120.000000000
A00001799	260.000000000	3120.000000000
A00001672	260.000000000	3120.000000000
A00002060	260.000000000	3120.000000000
A00001867	260.000000000	3120.000000000
A00002096	260.000000000	3120.000000000
A00001878	260.000000000	3120.000000000
A00002408	260.000000000	3120.000000000
A00001766	260.000000000	3120.000000000
A00002439	260.000000000	3120.000000000
A00001929	260.000000000	3120.000000000
A00002254	260.000000000	3120.000000000
A00002175	260.000000000	3120.000000000
A00002463	260.000000000	3120.000000000
A00001983	260.000000000	3120.000000000
A00002265	260.000000000	3120.000000000
A00002033	260.000000000	3120.000000000
A00002357	260.000000000	3120.000000000
A00002341	260.000000000	3120.000000000
A00002279	260.000000000	3120.000000000
A00002151	260.000000000	3120.000000000
A00002562	260.000000000	3120.000000000
A00002383	260.000000000	3120.000000000
A00001718	260.000000000	3120.000000000
A00002428	260.000000000	3120.000000000
A00001788	260.000000000	3120.000000000
A00002477	260.000000000	3120.000000000
A00001892	260.000000000	3120.000000000
A00001689	260.000000000	3120.000000000
A00001979	260.000000000	3120.000000000
A00002132	260.000000000	3120.000000000
A00001991	260.000000000	3120.000000000
A00002145	260.000000000	3120.000000000
A00001937	260.000000000	3120.000000000
A00001903	260.000000000	3120.000000000
A00002049	260.000000000	3120.000000000
A00002245	260.000000000	3120.000000000
A00002247	260.000000000	3120.000000000
A00002213	260.000000000	3120.000000000
A00002135	260.000000000	3120.000000000
A00002518	260.000000000	3120.000000000
A00002360	260.000000000	3120.000000000
A00002226	260.000000000	3120.000000000
A00002405	260.000000000	3120.000000000
A00002323	260.000000000	3120.000000000
A00002291	260.000000000	3120.000000000
